"TableName"	"PKName"	"KeyColumn"	"key_ordinal"
"ORDDE4_剩餘製程明細_D"	"PK_ORDDE4_剩餘製程明細_D"	"ORDTP"	"1"
"ORDDE4_剩餘製程明細_D"	"PK_ORDDE4_剩餘製程明細_D"	"ORDNO"	"2"
"ORDDE4_剩餘製程明細_D"	"PK_ORDDE4_剩餘製程明細_D"	"ORDSQ"	"3"
"ORDDE4_剩餘製程明細_D"	"PK_ORDDE4_剩餘製程明細_D"	"ORDSQ1"	"4"
"ORDDE4_剩餘製程明細_D"	"PK_ORDDE4_剩餘製程明細_D"	"INPART"	"5"
"ORDDE4_剩餘製程明細_直式_D"	"PK_ORDDE4_剩餘製程明細_直式_D"	"ORDTP"	"1"
"ORDDE4_剩餘製程明細_直式_D"	"PK_ORDDE4_剩餘製程明細_直式_D"	"ORDNO"	"2"
"ORDDE4_剩餘製程明細_直式_D"	"PK_ORDDE4_剩餘製程明細_直式_D"	"ORDSQ"	"3"
"ORDDE4_剩餘製程明細_直式_D"	"PK_ORDDE4_剩餘製程明細_直式_D"	"ORDSQ1"	"4"
"ORDDE4_剩餘製程明細_直式_D"	"PK_ORDDE4_剩餘製程明細_直式_D"	"ORDSQ2"	"5"
"ORDDE4_剩餘製程明細_直式_D"	"PK_ORDDE4_剩餘製程明細_直式_D"	"ORDSQ3"	"6"
"ORDDE4_剩餘製程明細_直式_D"	"PK_ORDDE4_剩餘製程明細_直式_D"	"INPART"	"7"
