"TableName"	"column_id"	"ColumnName"	"DataType"	"max_length"	"is_nullable"
"ORDDE4"	"1"	"ORDTP"	"varchar"	"1"	"False"
"ORDDE4"	"2"	"ORDNO"	"varchar"	"10"	"False"
"ORDDE4"	"3"	"ORDSQ"	"int"	"4"	"False"
"ORDDE4"	"4"	"ORDSQ1"	"int"	"4"	"False"
"ORDDE4"	"5"	"ORDSQ2"	"int"	"4"	"False"
"ORDDE4"	"6"	"ORDFNO"	"varchar"	"40"	"True"
"ORDDE4"	"7"	"ORDFO"	"varchar"	"3"	"True"
"ORDDE4"	"8"	"ORDDTP"	"varchar"	"1"	"True"
"ORDDE4"	"9"	"ORDQY1"	"decimal"	"9"	"True"
"ORDDE4"	"10"	"ORDQY2"	"decimal"	"9"	"True"
"ORDDE4"	"11"	"ORDMCL"	"varchar"	"2"	"True"
"ORDDE4"	"12"	"ORDAMT"	"decimal"	"9"	"True"
"ORDDE4"	"13"	"ORDSM1"	"numeric"	"9"	"True"
"ORDDE4"	"14"	"ORDFM1"	"numeric"	"9"	"True"
"ORDDE4"	"15"	"ORDUPR"	"decimal"	"9"	"True"
"ORDDE4"	"16"	"ORDEMT"	"decimal"	"9"	"True"
"ORDDE4"	"17"	"REFNO"	"varchar"	"10"	"True"
"ORDDE4"	"18"	"PRDDESC"	"varchar"	"60"	"True"
"ORDDE4"	"19"	"ORDDP"	"varchar"	"10"	"True"
"ORDDE4"	"20"	"ORDMT1"	"decimal"	"9"	"True"
"ORDDE4"	"21"	"ORDMT2"	"decimal"	"9"	"True"
"ORDDE4"	"22"	"ORDQY3"	"decimal"	"9"	"True"
"ORDDE4"	"23"	"ORDQY4"	"decimal"	"9"	"True"
"ORDDE4"	"24"	"ORDQY5"	"decimal"	"9"	"True"
"ORDDE4"	"25"	"ORDMT3"	"decimal"	"9"	"True"
"ORDDE4"	"26"	"ORDMT4"	"decimal"	"9"	"True"
"ORDDE4"	"27"	"AMT"	"decimal"	"9"	"True"
"ORDDE4"	"28"	"ORDDY1"	"datetime"	"8"	"True"
"ORDDE4"	"29"	"ORDDY2"	"datetime"	"8"	"True"
"ORDDE4"	"30"	"ORDDY3"	"datetime"	"8"	"True"
"ORDDE4"	"31"	"ORDDY4"	"datetime"	"8"	"True"
"ORDDE4"	"32"	"LOTNO"	"varchar"	"10"	"True"
"ORDDE4"	"33"	"ORDFCO"	"varchar"	"1"	"True"
"ORDDE4"	"34"	"ORDSM2"	"decimal"	"9"	"True"
"ORDDE4"	"35"	"ORDFM2"	"decimal"	"9"	"True"
"ORDDE4"	"36"	"CRUSER"	"varchar"	"10"	"True"
"ORDDE4"	"37"	"CRDATE"	"datetime"	"8"	"True"
"ORDDE4"	"38"	"AMDUSR"	"varchar"	"10"	"True"
"ORDDE4"	"39"	"AMDDAY"	"datetime"	"8"	"True"
"ORDDE4"	"40"	"PCODE"	"varchar"	"1"	"True"
"ORDDE4"	"41"	"PDATE"	"datetime"	"8"	"True"
"ORDDE4"	"42"	"RCODE"	"varchar"	"1"	"True"
"ORDDE4"	"43"	"RDATE"	"datetime"	"8"	"True"
"ORDDE4"	"44"	"LINE1"	"varchar"	"6"	"True"
"ORDDE4"	"45"	"DSTAT"	"varchar"	"10"	"True"
"ORDDE4"	"46"	"RCOST"	"decimal"	"9"	"True"
"ORDDE4"	"47"	"MCODE"	"varchar"	"1"	"True"
"ORDDE4"	"48"	"MDATE"	"datetime"	"8"	"True"
"ORDDE4"	"49"	"MBCODE"	"varchar"	"1"	"True"
"ORDDE4"	"50"	"MBDATE"	"datetime"	"8"	"True"
"ORDDE4"	"51"	"MPDATE"	"datetime"	"8"	"True"
